v,p
0,0
0.025025025,0
0.05005005,0
0.075075075,0
0.1001001,1
0.125125125,1
0.15015015,1
0.175175175,1
0.2002002,1
0.225225225,1
0.25025025,1
0.275275275,1
0.3003003,2
0.325325325,2
0.35035035,2
0.375375375,2
0.4004004,2
0.425425425,2
0.45045045,2
0.475475475,2
0.500500501,3
0.525525526,3
0.550550551,3
0.575575576,3
0.600600601,3
0.625625626,3
0.650650651,3
0.675675676,4
0.700700701,4
0.725725726,4
0.750750751,4
0.775775776,4
0.800800801,4
0.825825826,4
0.850850851,4
0.875875876,5
0.900900901,5
0.925925926,5
0.950950951,5
0.975975976,5
1.001001001,5
1.026026026,5
1.051051051,6
1.076076076,6
1.101101101,6
1.126126126,6
1.151151151,6
1.176176176,6
1.201201201,6
1.226226226,7
1.251251251,7
1.276276276,7
1.301301301,7
1.326326326,7
1.351351351,7
1.376376376,7
1.401401401,7
1.426426426,8
1.451451451,8
1.476476476,8
1.501501502,8
1.526526527,8
1.551551552,8
1.576576577,8
1.601601602,9
1.626626627,9
1.651651652,9
1.676676677,9
1.701701702,9
1.726726727,9
1.751751752,9
1.776776777,10
1.801801802,10
1.826826827,10
1.851851852,10
1.876876877,10
1.901901902,10
1.926926927,11
1.951951952,11
1.976976977,11
2.002002002,11
2.027027027,11
2.052052052,11
2.077077077,11
2.102102102,12
2.127127127,12
2.152152152,12
2.177177177,12
2.202202202,12
2.227227227,12
2.252252252,12
2.277277277,13
2.302302302,13
2.327327327,13
2.352352352,13
2.377377377,13
2.402402402,13
2.427427427,14
2.452452452,14
2.477477477,14
2.502502503,14
2.527527528,14
2.552552553,14
2.577577578,15
2.602602603,15
2.627627628,15
2.652652653,15
2.677677678,15
2.702702703,15
2.727727728,16
2.752752753,16
2.777777778,16
2.802802803,16
2.827827828,16
2.852852853,16
2.877877878,17
2.902902903,17
2.927927928,17
2.952952953,17
2.977977978,17
3.003003003,17
3.028028028,18
3.053053053,18
3.078078078,18
3.103103103,18
3.128128128,18
3.153153153,19
3.178178178,19
3.203203203,19
3.228228228,19
3.253253253,19
3.278278278,19
3.303303303,20
3.328328328,20
3.353353353,20
3.378378378,20
3.403403403,20
3.428428428,21
3.453453453,21
3.478478478,21
3.503503504,21
3.528528529,21
3.553553554,22
3.578578579,22
3.603603604,22
3.628628629,22
3.653653654,22
3.678678679,23
3.703703704,23
3.728728729,23
3.753753754,23
3.778778779,23
3.803803804,24
3.828828829,24
3.853853854,24
3.878878879,24
3.903903904,24
3.928928929,25
3.953953954,25
3.978978979,25
4.004004004,25
4.029029029,25
4.054054054,26
4.079079079,26
4.104104104,26
4.129129129,26
4.154154154,27
4.179179179,27
4.204204204,27
4.229229229,27
4.254254254,27
4.279279279,28
4.304304304,28
4.329329329,28
4.354354354,28
4.379379379,29
4.404404404,29
4.429429429,29
4.454454454,29
4.479479479,30
4.504504505,30
4.52952953,30
4.554554555,30
4.57957958,30
4.604604605,31
4.62962963,31
4.654654655,31
4.67967968,31
4.704704705,32
4.72972973,32
4.754754755,32
4.77977978,32
4.804804805,33
4.82982983,33
4.854854855,33
4.87987988,33
4.904904905,34
4.92992993,34
4.954954955,34
4.97997998,34
5.005005005,35
5.03003003,35
5.055055055,35
